id,Distance,Zb,Nonuniform,Unsteady Collacated,Unsteady Staggered
7332,3666.0,9.12091004205755,3.011206007178474,3.1399196976569272,3.0764074730392634
7333,3666.5,9.244318026043484,2.8018776292576972,3.041323528920852,2.9423220650285633
7334,3667.0,9.188187368919674,2.904484325973059,3.0958558626005948,3.0117816204327283
7335,3667.5,9.214497659765716,2.860947378898886,3.1061233980382417,3.0049644553855734
7336,3668.0,9.111441333266187,3.0344987148989855,3.182655284883878,3.1132229448635407
7337,3668.5,9.20351831979664,2.8845215212297854,3.129630620338864,3.0274201656872433
7338,3669.0,9.078620183929642,3.089147866621153,3.2021133584774324,3.1438684870987488
7339,3669.5,9.211545310343148,2.8746478229502666,3.05825042926583,2.975636864360948
7340,3670.0,9.264795101721328,2.7800999141228004,3.0502276624835347,2.9419927936406407
7341,3670.5,9.164162148526655,2.959808566784046,3.160589437146592,3.073192280865385
7342,3671.0,9.133298225937343,3.0117694367368406,3.174736788363327,3.1001515840351015
7343,3671.5,9.193529248233752,2.9146262051194123,3.141204627403489,3.045134836380526
7344,3672.0,9.110394677450694,3.051676119807836,3.1914808868386606,3.124339894684238
7345,3672.5,9.20206542450283,2.904100084220974,3.1056807425083983,3.0174469283683725
7346,3673.0,9.181713930105408,2.940662906554411,3.109214985667488,3.0314545121041365
7347,3673.5,9.219354547697874,2.8785785622137903,3.059804319343385,2.9776670146778246
7348,3674.0,9.249818784318013,2.8266520773364516,3.0294226742748296,2.9406494704018895
7349,3674.5,9.265261136738768,2.800796950830629,3.036855244805864,2.9382723367681547
7350,3675.0,9.205262984835894,2.9101025025952048,3.0786354992938785,3.0007843258123144
7351,3675.5,9.256753530072466,2.821552421262045,3.03736870676505,2.944906462824432
7352,3676.0,9.24203614657826,2.8507035467358377,3.0628801009746867,2.9717937396649203
7353,3676.5,9.225911313629137,2.8815391791359484,3.091000419829662,3.0010659232484382
7354,3677.0,9.214442937222646,2.903624389795756,3.130670041924693,3.035009371013261
7355,3677.5,9.14118598502817,3.026068751917265,3.1968154356500564,3.119245492904561
7356,3678.0,9.141470536596085,3.0273937287903974,3.15359690724197,3.091115252353941
7357,3678.5,9.267757207239372,2.815384575257949,3.0572775423594174,2.957138468219707
7358,3679.0,9.187194232117651,2.957734167377933,3.1156926618622025,3.04196143973837
7359,3679.5,9.265717750282525,2.8239596661697575,3.077387424652137,2.9731733694075793
7360,3680.0,9.14971531395501,3.0225353780724173,3.1549757871865025,3.089542368161413
7361,3680.5,9.25497184572498,2.847967697196494,3.0613331530027765,2.969225647147752
7362,3681.0,9.234076781665868,2.8871746669515557,3.089074963131959,3.0004731705114533
7363,3681.5,9.208231299840826,2.9334630508587343,3.09181175160893,3.0173253631691495
7364,3682.0,9.296778713892682,2.7781292411649137,3.059503677141168,2.9475973783806926
7365,3682.5,9.171258562382462,2.9986142345491373,3.2032911099355905,3.114219452773088
7366,3683.0,9.11029769752062,3.0957094540522543,3.2358717752398563,3.1694767203633814
7367,3683.5,9.208486871175918,2.941289386745611,3.172686337323806,3.074742995456244
7368,3684.0,9.110100749132242,3.099470648734191,3.2580257380952444,3.184560096840797
7369,3684.5,9.144720474520843,3.047732943757064,3.212784761935556,3.136413353314284
7370,3685.0,9.151927692363142,3.038161560304378,3.1566394018163138,3.0960093130861646
7371,3685.5,9.278839382853604,2.8267279916052983,3.0332356317892573,2.9434843779279367
7372,3686.0,9.288622954540925,2.8113720148647956,3.050480690194702,2.9513462490511295
7373,3686.5,9.241623684883224,2.8975740080872,3.123900950414431,3.028028466640081
7374,3687.0,9.152886159336342,3.044887677134702,3.164867994245733,3.1044269787938528
7375,3687.5,9.306054725758733,2.7859687467175194,3.068324119935932,2.9558701079738103
7376,3688.0,9.171410149062384,3.0197624021495195,3.2084712225768715,3.124527222667366
7377,3688.5,9.14543430380728,3.0622671360644125,3.2062023881443475,3.1376989832263726
7378,3689.0,9.22544570212097,2.9353512169105462,3.13000245444714,3.0439433059027583
7379,3689.5,9.208206597929586,2.9659773274862467,3.126836313751863,3.051887705533089
7380,3690.0,9.27439332896906,2.855191062829375,3.0845784340087326,2.9874945409670217
7381,3690.5,9.208773316900563,2.969248942104682,3.131188686940183,3.0555412088090685
7382,3691.0,9.250529250994784,2.901322661386612,3.0735745321767842,2.9943669450800865
7383,3691.5,9.307423114590986,2.8021284172765593,3.0470321110351093,2.9459055529454248
7384,3692.0,9.253726256980189,2.9005429402087133,3.129456376054846,3.0326248514745346
7385,3692.5,9.164100079811854,3.048969772841291,3.1819433793633873,3.117277690129328
7386,3693.0,9.29171966040504,2.837932839027749,3.109770975132099,2.9995163255855135
7387,3693.5,9.145629586092644,3.0813974396813086,3.2445235433314297,3.169224515864888
7388,3694.0,9.172191424717187,3.0418546372796786,3.201698774611309,3.1274485011325814
7389,3694.5,9.223555222297794,2.9611996417436823,3.1599054654008634,3.0719116583023425
7390,3695.0,9.178800901057487,3.0351039943864095,3.159981622522065,3.0967929363851985
7391,3695.5,9.299320078208044,2.8348063841899416,3.049816471933179,2.9569955054965336
7392,3696.0,9.292254605552593,2.8500116288860693,3.0832275335156596,2.98489639364912
7393,3696.5,9.228780553015143,2.9609691798037354,3.1429240227723563,3.0605024135402994
7394,3697.0,9.221662278004857,2.97461072179768,3.112129831969403,3.044132318899445
7395,3697.5,9.335892420410351,2.776503122091094,3.0346763014449056,2.9287000653047532
7396,3698.0,9.232121711010812,2.9618751798965435,3.100344998502413,3.031285396505527
7397,3698.5,9.336835431597462,2.7798530229244287,3.0164658277555314,2.9168768693476683
7398,3699.0,9.307568911340192,2.8368042283440547,3.0737195702814124,2.974069707073641
7399,3699.5,9.240410032040002,2.9549510663029044,3.136511478630765,3.0541820501961228
7400,3700.0,9.245572864237158,2.9484143998068726,3.1143584903711705,3.0371131498267547
7401,3700.5,9.296306162378873,2.863754058065485,3.075061629047494,2.9834430644157437
7402,3701.0,9.276263972466436,2.9009815484486032,3.1034732267508804,3.015069910600769
7403,3701.5,9.282816569795196,2.891925010140179,3.143207866872439,3.0390228504979655
7404,3702.0,9.158365079678564,3.094969777901383,3.257918087236207,3.1823439800767366
7405,3702.5,9.162264207119838,3.090611357108443,3.1995865466136992,3.1429221136100636
7406,3703.0,9.309012411111878,2.8519184984764334,3.058223193952364,2.9686417009532993
